province	segment	postalcode	stationid	distance
NL	3	A1C5N4	6602	0.6121130001
NL	3	A1C5N4	6659	0.6121130002
NL	3	A1C5N4	6559	0.6721130001
NL	3	A1C5N4	6731	0.8783910001
NL	3	A1C5N4	6748	1.0783910001
NL	3	A1C5N4	6753	1.3021130001
NL	3	A1C5N4	6682	1.4021130001
NL	3	A1C5N4	6754	1.4621130001
NL	3	A1C5N4	6671	1.5083910001
NL	3	A1C5N4	10113	1.5521130001
NL	3	A1C5N4	6556	1.5621130001
NL	3	A1C5N4	6557	1.5621130002
NL	3	A1C5N4	6725	1.7121130001
NL	3	A1C5N4	6599	1.7783910001
NL	3	A1C5N4	6578	1.9521130001
NL	3	A1C5N4	6669	1.9783910001
NL	3	A1C5N4	10909	2.1221130001
NL	3	A1C5N4	6696	2.2483910001
NL	3	A1C5N4	6575	2.2721130001
NL	3	A1C5N4	6702	2.5721130001
NL	3	A1C5N4	6676	2.8421130001
NL	3	A1C5N4	6635	2.9921130001
NL	3	A1C5N4	6667	3.1221130001
NL	3	A1C5N4	50088	3.2383910001
NL	3	A1C5N4	30346	3.2483910001
NL	3	A1C5N4	6633	3.2583910001
NL	3	A1C5N4	6594	3.3983910001
NL	3	A1C5N4	55398	3.4483910001
NL	3	A1C5N4	6634	3.4783910001
NL	3	A1C5N4	6636	3.5583910001
NL	3	A1C5N4	6937	4.4283910001
NL	3	A1C5N4	6666	4.9583910001
NL	3	A1C5N4	6582	5.0483910001
NL	3	A1C5N4	6646	5.0783910001
NL	3	A1C5N4	50678	5.0883910001
NL	3	A1C5N4	6755	5.2183910001
NL	3	A1C5N4	6668	5.3183910001
NL	3	A1C5N4	6733	5.3183910002
NL	3	A1C5N4	6581	5.4083910001
NL	3	A1C5N4	6579	5.4183910001
NL	3	A1C5N4	6660	5.5383910001
NL	3	A1C5N4	5020	5.9883910001
NL	3	A1C5N4	6644	6.0083910001
NL	3	A1C5N4	6663	6.2783910001
NL	3	A1C5N4	6665	6.3783910001
NL	3	A1C5N4	6734	6.3783910002
NL	3	A1C5N4	6664	6.4183910001
NL	3	A1C5N4	6693	6.4483910001
NL	3	A1C5N4	54640	6.4483910002
NL	3	A1C5N4	6695	6.4983910001
NL	3	A1C5N4	6616	6.5183910001
NL	3	A1C5N4	6717	6.6283910001
NL	3	A1C5N4	6706	6.7183910001
NL	3	A1C5N4	6741	6.7283910001
NL	3	A1C5N4	6932	6.7283910002
NL	3	A1C5N4	6670	6.7683910001
NL	3	A1C5N4	6740	6.8083910001
NL	3	A1C5N4	52759	6.8183910001
NL	3	A1C5N4	47607	6.8583910001
NL	3	A1C5N4	6705	7.1783910001
NL	3	A1C5N4	6938	7.1783910002
NL	3	A1C5N4	6783	7.8583910001
NL	3	A1C5N4	10227	7.8583910002
NL	3	A1C5N4	51918	7.8783910001
NL	3	A1C5N4	6803	8.0283910001
NL	3	A1C5N4	6804	8.0283910002
NL	3	A1C5N4	6789	13.3983910001
NL	3	A1C5N4	6788	13.4083910001
NL	3	A1C5N4	6779	14.2283910001
NL	3	A1C5N4	6781	15.3983910001
NL	3	A1C5N4	6940	17.2283910001
NL	3	A1C5N4	6774	17.3783910001
NL	3	A1C5N4	10887	17.3783910002
NL	3	A1C5N4	49629	17.3983910001
NL	3	A1C5N4	6787	17.9583910001
NL	3	A1C5N4	53502	17.9583910002
NL	3	A1C5N4	53507	17.9583910003
NL	3	A1C5N4	6799	19.0583910001
NL	3	A1C5N4	6595	19.5783910001
NL	3	A1C5N5	6681	0.1389430001
NL	3	A1C5N5	6672	0.2698250001
NL	3	A1C5N5	6694	0.3101750001
NL	3	A1C5N5	6730	0.3101750002
NL	3	A1C5N5	6658	0.3401750001
NL	3	A1C5N5	6602	0.4401750001
NL	3	A1C5N5	6659	0.4401750002
NL	3	A1C5N5	6559	0.5001750001
NL	3	A1C5N5	6731	0.8289430001
NL	3	A1C5N5	6748	1.0289430001
NL	3	A1C5N5	6753	1.1301750001
NL	3	A1C5N5	6682	1.2301750001
NL	3	A1C5N5	6754	1.2901750001
NL	3	A1C5N5	10113	1.3801750001
NL	3	A1C5N5	6556	1.3901750001
NL	3	A1C5N5	6557	1.3901750002
NL	3	A1C5N5	6671	1.4589430001
NL	3	A1C5N5	6725	1.5401750001
NL	3	A1C5N5	6599	1.7289430001
NL	3	A1C5N5	6578	1.7801750001
NL	3	A1C5N5	6669	1.9289430001
NL	3	A1C5N5	10909	1.9501750001
NL	3	A1C5N5	6575	2.1001750001
NL	3	A1C5N5	6696	2.1989430001
NL	3	A1C5N5	6702	2.4001750001
NL	3	A1C5N5	6676	2.6701750001
NL	3	A1C5N5	6635	2.8201750001
NL	3	A1C5N5	6667	2.9501750001
NL	3	A1C5N5	50088	3.1889430001
NL	3	A1C5N5	30346	3.1989430001
NL	3	A1C5N5	6633	3.2089430001
NL	3	A1C5N5	6594	3.3489430001
NL	3	A1C5N5	55398	3.3989430001
NL	3	A1C5N5	6634	3.4289430001
NL	3	A1C5N5	6636	3.5089430001
NL	3	A1C5N5	6937	4.3789430001
NL	3	A1C5N5	6666	4.9089430001
NL	3	A1C5N5	6582	4.9989430001
NL	3	A1C5N5	6646	5.0289430001
NL	3	A1C5N5	50678	5.0389430001
NL	3	A1C5N5	6755	5.1689430001
NL	3	A1C5N5	6668	5.2689430001
NL	3	A1C5N5	6733	5.2689430002
NL	3	A1C5N5	6581	5.3589430001
NL	3	A1C5N5	6579	5.3689430001
NL	3	A1C5N5	6660	5.4889430001
NL	3	A1C5N5	5020	5.9389430001
NL	3	A1C5N5	6644	5.9589430001
NL	3	A1C5N5	6663	6.2289430001
NL	3	A1C5N5	6665	6.3289430001
NL	3	A1C5N5	6734	6.3289430002
NL	3	A1C5N5	6664	6.3689430001
NL	3	A1C5N5	6693	6.3989430001
NL	3	A1C5N5	54640	6.3989430002
NL	3	A1C5N5	6695	6.4489430001
NL	3	A1C5N5	6616	6.4689430001
NL	3	A1C5N5	6717	6.5789430001
NL	3	A1C5N5	6706	6.6689430001
NL	3	A1C5N5	6741	6.6789430001
NL	3	A1C5N5	6932	6.6789430002
NL	3	A1C5N5	6670	6.7189430001
NL	3	A1C5N5	6740	6.7589430001
NL	3	A1C5N5	52759	6.7689430001
NL	3	A1C5N5	47607	6.8089430001
NL	3	A1C5N5	6705	7.1289430001
NL	3	A1C5N5	6938	7.1289430002
NL	3	A1C5N5	6783	7.8089430001
NL	3	A1C5N5	10227	7.8089430002
NL	3	A1C5N5	51918	7.8289430001
NL	3	A1C5N5	6803	7.9789430001
NL	3	A1C5N5	6804	7.9789430002
NL	3	A1C5N5	6789	13.3489430001
NL	3	A1C5N5	6788	13.3589430001
NL	3	A1C5N5	6779	14.1789430001
NL	3	A1C5N5	6781	15.3489430001
NL	3	A1C5N5	6940	17.1789430001
NL	3	A1C5N5	6774	17.3289430001
NL	3	A1C5N5	10887	17.3289430002
NL	3	A1C5N5	49629	17.3489430001
NL	3	A1C5N5	6787	17.9089430001
NL	3	A1C5N5	53502	17.9089430002
NL	3	A1C5N5	53507	17.9089430003
NL	3	A1C5N5	6799	19.0089430001
NL	3	A1C5N5	6595	19.5289430001
NL	3	A1C5N6	6672	0.1119130001
NL	3	A1C5N6	6681	0.1890510001
NL	3	A1C5N6	6694	0.4680870001
NL	3	A1C5N6	6730	0.4680870002
NL	3	A1C5N6	6658	0.4980870001
NL	3	A1C5N6	6602	0.5980870001
NL	3	A1C5N6	6659	0.5980870002
NL	3	A1C5N6	6559	0.6580870001
NL	3	A1C5N6	6731	0.8790510001
NL	3	A1C5N6	6748	1.0790510001
NL	3	A1C5N6	6753	1.2880870001
NL	3	A1C5N6	6682	1.3880870001
NL	3	A1C5N6	6754	1.4480870001
NL	3	A1C5N6	6671	1.5090510001
NL	3	A1C5N6	10113	1.5380870001
NL	3	A1C5N6	6556	1.5480870001
NL	3	A1C5N6	6557	1.5480870002
NL	3	A1C5N6	6725	1.6980870001
NL	3	A1C5N6	6599	1.7790510001
NL	3	A1C5N6	6578	1.9380870001
NL	3	A1C5N6	6669	1.9790510001
NL	3	A1C5N6	10909	2.1080870001
NL	3	A1C5N6	6696	2.2490510001
NL	3	A1C5N6	6575	2.2580870001
NL	3	A1C5N6	6702	2.5580870001
NL	3	A1C5N6	6676	2.8280870001
NL	3	A1C5N6	6635	2.9780870001
NL	3	A1C5N6	6667	3.1080870001
NL	3	A1C5N6	50088	3.2390510001
NL	3	A1C5N6	30346	3.2490510001
NL	3	A1C5N6	6633	3.2590510001
NL	3	A1C5N6	6594	3.3990510001
NL	3	A1C5N6	55398	3.4490510001
NL	3	A1C5N6	6634	3.4790510001
NL	3	A1C5N6	6636	3.5590510001
NL	3	A1C5N6	6937	4.4290510001
NL	3	A1C5N6	6666	4.9590510001
NL	3	A1C5N6	6582	5.0490510001
NL	3	A1C5N6	6646	5.0790510001
NL	3	A1C5N6	50678	5.0890510001
NL	3	A1C5N6	6755	5.2190510001
NL	3	A1C5N6	6668	5.3190510001
NL	3	A1C5N6	6733	5.3190510002
NL	3	A1C5N6	6581	5.4090510001
NL	3	A1C5N6	6579	5.4190510001
NL	3	A1C5N6	6660	5.5390510001
